,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",9756087,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,"Todo De Ti","Rauw Alejandro",6359382,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
3,Yonaguni,"Bad Bunny",6303435,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
4,"MONTERO (Call Me By Your Name)","Lil Nas X",5038190,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,Butter,BTS,4912494,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
6,"Kiss Me More (feat. SZA)","Doja Cat",4850457,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
7,"deja vu","Olivia Rodrigo",4785146,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
8,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",3983335,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
9,"Levitating (feat. DaBaby)","Dua Lipa",3966943,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
10,traitor,"Olivia Rodrigo",3818051,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
11,"drivers license","Olivia Rodrigo",3630285,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
12,happier,"Olivia Rodrigo",3274510,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
13,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3200968,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
14,"favorite crime","Olivia Rodrigo",3168143,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
15,"Astronaut In The Ocean","Masked Wolf",2901744,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
16,"Leave The Door Open","Bruno Mars",2890907,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
17,"Lost Cause","Billie Eilish",2812030,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
18,Fiel,"Los Legendarios",2779701,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
19,"Pareja Del Año","Sebastian Yatra",2764095,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
20,"Build a Bitch","Bella Poarch",2630698,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
21,brutal,"Olivia Rodrigo",2627078,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
22,"I WANNA BE YOUR SLAVE",Måneskin,2626620,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
23,"ZITTI E BUONI",Måneskin,2414997,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
