,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",9690648,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,"Todo De Ti","Rauw Alejandro",6240678,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
3,Yonaguni,"Bad Bunny",6150294,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
4,"MONTERO (Call Me By Your Name)","Lil Nas X",5169744,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,"Kiss Me More (feat. SZA)","Doja Cat",4860416,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,"deja vu","Olivia Rodrigo",4721953,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
7,Butter,BTS,4601853,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
8,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",4018269,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
9,"Levitating (feat. DaBaby)","Dua Lipa",3992689,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
10,traitor,"Olivia Rodrigo",3771440,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
11,"drivers license","Olivia Rodrigo",3582392,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
12,happier,"Olivia Rodrigo",3239457,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
13,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3164081,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
14,"favorite crime","Olivia Rodrigo",3096659,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
15,"Astronaut In The Ocean","Masked Wolf",2928268,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
16,"Leave The Door Open","Bruno Mars",2906759,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
17,Fiel,"Los Legendarios",2801175,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
18,"Pareja Del Año","Sebastian Yatra",2776499,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
19,"I WANNA BE YOUR SLAVE",Måneskin,2687227,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
20,"Lost Cause","Billie Eilish",2652040,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
21,"Build a Bitch","Bella Poarch",2625127,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
22,brutal,"Olivia Rodrigo",2537243,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
23,"ZITTI E BUONI",Måneskin,2389830,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
24,"Blinding Lights","The Weeknd",2355293,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
25,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2353024,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
26,RAPSTAR,"Polo G",2315799,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
27,Am,"Nio Garcia",2233713,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
28,"jealousy, jealousy","Olivia Rodrigo",2192099,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
29,DÁKITI,"Bad Bunny",2155007,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
30,"enough for you","Olivia Rodrigo",2092991,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
31,"Qué Más Pues?","J Balvin",2001742,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
32,Dynamite,BTS,2000751,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
33,2/Catorce,"Rauw Alejandro",1991773,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
34,"The Business",Tiësto,1942976,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
35,"1 step forward, 3 steps back","Olivia Rodrigo",1835221,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
36,telepatía,"Kali Uchis",1826079,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
37,"Heartbreak Anniversary",Giveon,1824691,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
38,"Watermelon Sugar","Harry Styles",1820842,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
